Date,HSI
25/10/2022,15165.58984
26/10/2022,15317.66992
27/10/2022,15427.94043
28/10/2022,14863.05957
31/10/2022,14687.01953
1/11/2022,15455.26953
2/11/2022,15827.16992
3/11/2022,15339.49023
4/11/2022,16161.13965
7/11/2022,16595.91016
8/11/2022,16557.31055
9/11/2022,16358.51953
10/11/2022,16081.04004
11/11/2022,17325.66016
14/11/2022,17619.71094
15/11/2022,18343.11914
16/11/2022,18256.48047
17/11/2022,18045.66016
18/11/2022,17992.53906
21/11/2022,17655.91016
22/11/2022,17424.41016
23/11/2022,17523.81055
24/11/2022,17660.90039
25/11/2022,17573.58008
28/11/2022,17297.93945
29/11/2022,18204.67969
30/11/2022,18597.23047
1/12/2022,18736.43945
2/12/2022,18675.34961
5/12/2022,19518.28906
6/12/2022,19441.17969
7/12/2022,18814.82031
8/12/2022,19450.23047
9/12/2022,19900.86914
12/12/2022,19463.63086
13/12/2022,19596.19922
14/12/2022,19673.44922
15/12/2022,19368.58984
16/12/2022,19450.66992
19/12/2022,19352.81055
20/12/2022,19094.80078
21/12/2022,19160.49023
22/12/2022,19679.2207
23/12/2022,19593.06055
28/12/2022,19898.91016
29/12/2022,19741.14063
30/12/2022,19781.41016
3/1/2023,20145.28906
4/1/2023,20793.10938
5/1/2023,21052.16992
6/1/2023,20991.64063
9/1/2023,21388.33984
10/1/2023,21331.46094
11/1/2023,21436.05078
12/1/2023,21514.09961
13/1/2023,21738.66016
16/1/2023,21746.7207
17/1/2023,21577.64063
18/1/2023,21678
19/1/2023,21650.98047
20/1/2023,22044.65039
26/1/2023,22566.7793
27/1/2023,22688.90039
30/1/2023,22069.73047
31/1/2023,21842.33008
1/2/2023,22072.17969
2/2/2023,21958.35938
3/2/2023,21660.4707
6/2/2023,21222.16016
7/2/2023,21298.69922
8/2/2023,21283.51953
9/2/2023,21624.35938
10/2/2023,21190.41992
13/2/2023,21164.41992
14/2/2023,21113.75977
15/2/2023,20812.16992
16/2/2023,20987.66992
17/2/2023,20719.81055
20/2/2023,20886.96094
21/2/2023,20529.49023
22/2/2023,20423.83984
23/2/2023,20351.34961
24/2/2023,20010.03906
27/2/2023,19943.50977
28/2/2023,19785.93945
1/3/2023,20619.71094
2/3/2023,20429.46094
3/3/2023,20567.53906
6/3/2023,20603.18945
7/3/2023,20534.48047
8/3/2023,20051.25
9/3/2023,19925.74023
10/3/2023,19319.91992
13/3/2023,19695.9707
14/3/2023,19247.96094
15/3/2023,19539.86914
16/3/2023,19203.91016
17/3/2023,19518.58984
20/3/2023,19000.71094
21/3/2023,19258.75977
22/3/2023,19591.42969
23/3/2023,20049.64063
24/3/2023,19915.67969
27/3/2023,19567.68945
28/3/2023,19784.65039
29/3/2023,20192.40039
30/3/2023,20309.13086
31/3/2023,20400.10938
3/4/2023,20409.17969
4/4/2023,20274.58984
6/4/2023,20331.19922
11/4/2023,20485.24023
12/4/2023,20309.85938
13/4/2023,20344.48047
14/4/2023,20438.81055
17/4/2023,20782.44922
18/4/2023,20650.50977
19/4/2023,20367.75977
20/4/2023,20396.9707
21/4/2023,20075.73047
24/4/2023,19959.93945
25/4/2023,19617.88086
26/4/2023,19757.26953
27/4/2023,19840.2793
28/4/2023,19894.57031
2/5/2023,19933.81055
3/5/2023,19699.16016
4/5/2023,19948.73047
5/5/2023,20049.31055
8/5/2023,20297.0293
9/5/2023,19867.58008
10/5/2023,19762.19922
11/5/2023,19743.78906
12/5/2023,19627.24023
15/5/2023,19971.13086
16/5/2023,19978.25
17/5/2023,19560.57031
18/5/2023,19727.25
19/5/2023,19450.57031
22/5/2023,19678.16992
23/5/2023,19431.25
24/5/2023,19115.92969
25/5/2023,18746.91992
29/5/2023,18551.10938
30/5/2023,18595.7793
31/5/2023,18234.26953
1/6/2023,18216.91016
2/6/2023,18949.93945
5/6/2023,19108.5
6/6/2023,19099.2793
7/6/2023,19252
8/6/2023,19299.17969
9/6/2023,19389.94922
12/6/2023,19404.31055
13/6/2023,19521.41992
14/6/2023,19408.41992
15/6/2023,19828.91992
16/6/2023,20040.36914
19/6/2023,19912.89063
20/6/2023,19607.08008
21/6/2023,19218.34961
23/6/2023,18889.9707
26/6/2023,18794.13086
27/6/2023,19148.13086
28/6/2023,19172.05078
29/6/2023,18934.35938
30/6/2023,18916.42969
3/7/2023,19306.58984
4/7/2023,19415.67969
5/7/2023,19110.38086
6/7/2023,18533.05078
7/7/2023,18365.69922
10/7/2023,18479.7207
11/7/2023,18659.83008
12/7/2023,18860.94922
13/7/2023,19350.61914
14/7/2023,19413.7793
18/7/2023,19015.7207
19/7/2023,18952.31055
20/7/2023,18928.01953
21/7/2023,19075.25977
24/7/2023,18668.15039
25/7/2023,19434.40039
26/7/2023,19365.14063
27/7/2023,19639.10938
28/7/2023,19916.56055
31/7/2023,20078.93945
1/8/2023,20011.11914
2/8/2023,19517.38086
3/8/2023,19420.86914
4/8/2023,19539.46094
7/8/2023,19537.91992
8/8/2023,19184.16992
9/8/2023,19246.0293
10/8/2023,19248.25977
11/8/2023,19075.18945
14/8/2023,18773.55078
15/8/2023,18581.10938
16/8/2023,18329.30078
17/8/2023,18326.63086
18/8/2023,17950.84961
21/8/2023,17623.28906
22/8/2023,17791.00977
23/8/2023,17845.91992
24/8/2023,18212.16992
25/8/2023,18119.39063
28/8/2023,18130.74023
29/8/2023,18484.0293
30/8/2023,18482.85938
31/8/2023,18382.06055
4/9/2023,18844.16016
5/9/2023,18456.91016
6/9/2023,18449.98047
7/9/2023,18202.07031
11/9/2023,18096.44922
12/9/2023,18025.89063
13/9/2023,18009.2207
14/9/2023,18047.91992
15/9/2023,18182.89063
18/9/2023,17930.55078
19/9/2023,17997.16992
20/9/2023,17885.59961
21/9/2023,17655.41016
22/9/2023,18057.44922
25/9/2023,17729.28906
26/9/2023,17466.90039
27/9/2023,17611.86914
28/9/2023,17373.0293
29/9/2023,17809.66016
3/10/2023,17331.2207
4/10/2023,17195.83984
5/10/2023,17213.86914
6/10/2023,17485.98047
9/10/2023,17517.40039
10/10/2023,17664.73047
11/10/2023,17893.09961
12/10/2023,18238.21094
13/10/2023,17813.44922
16/10/2023,17640.35938
17/10/2023,17773.33984
18/10/2023,17732.51953
19/10/2023,17295.89063
20/10/2023,17172.13086
24/10/2023,16991.5293
25/10/2023,17085.33008
26/10/2023,17044.60938
27/10/2023,17398.73047
30/10/2023,17406.35938
31/10/2023,17112.48047
1/11/2023,17101.7793
2/11/2023,17230.58984
3/11/2023,17664.11914
6/11/2023,17966.58984
7/11/2023,17670.16016
8/11/2023,17568.46094
9/11/2023,17511.28906
10/11/2023,17203.25977
13/11/2023,17426.21094
14/11/2023,17396.85938
15/11/2023,18079
16/11/2023,17832.82031
17/11/2023,17454.18945
20/11/2023,17778.07031
21/11/2023,17733.89063
22/11/2023,17734.59961
23/11/2023,17910.83984
24/11/2023,17559.41992
27/11/2023,17525.06055
28/11/2023,17354.14063
29/11/2023,16993.43945
30/11/2023,17042.88086
1/12/2023,16830.30078
4/12/2023,16646.05078
5/12/2023,16327.86035
6/12/2023,16463.25977
7/12/2023,16345.88965
